component,path,lines,exported,violations,compliant
"GlassErrorBoundary","components/GlassErrorBoundary.tsx",130,true,1,false
"AccessibilityProvider","components/accessibility/AccessibilityProvider.tsx",184,false,1,true
"GlassA11y","components/accessibility/GlassA11y.tsx",714,false,1,true
"GlassFocusIndicators","components/accessibility/GlassFocusIndicators.tsx",442,false,6,false
"BrandColorIntegration","components/advanced/BrandColorIntegration.tsx",392,false,15,false
"GlassAchievementSystem","components/advanced/GlassAchievementSystem.tsx",1124,false,2,false
"GlassAutoComposer","components/advanced/GlassAutoComposer.tsx",932,false,10,false
"GlassBiometricAdaptation","components/advanced/GlassBiometricAdaptation.tsx",936,false,3,false
"GlassContextAware","components/advanced/GlassContextAware.tsx",441,false,1,true
"GlassContextualEngine","components/advanced/GlassContextualEngine.tsx",1286,false,2,false
"GlassEngine","components/advanced/GlassEngine.tsx",606,false,5,false
"GlassEyeTracking","components/advanced/GlassEyeTracking.tsx",770,false,2,false
"GlassFoldableSupport","components/advanced/GlassFoldableSupport.tsx",446,false,2,false
"GlassLiquidTransition","components/advanced/GlassLiquidTransition.tsx",505,false,4,false
"GlassLiveCursorPresence","components/advanced/GlassLiveCursorPresence.tsx",553,false,2,false
"GlassMagneticCursor","components/advanced/GlassMagneticCursor.tsx",443,false,3,false
"GlassMeshGradient","components/advanced/GlassMeshGradient.tsx",313,false,7,true
"GlassMetaEngine","components/advanced/GlassMetaEngine.tsx",1082,false,3,false
"GlassNeuroSync","components/advanced/GlassNeuroSync.tsx",1123,false,2,false
"GlassOrientationEffects","components/advanced/GlassOrientationEffects.tsx",430,false,2,false
"GlassParallaxLayers","components/advanced/GlassParallaxLayers.tsx",290,false,2,false
"GlassParticles","components/advanced/GlassParticles.tsx",554,false,5,false
"GlassPerformanceOptimization","components/advanced/GlassPerformanceOptimization.tsx",520,false,6,false
"GlassPredictiveEngine","components/advanced/GlassPredictiveEngine.tsx",981,false,3,false
"GlassProgressiveEnhancement","components/advanced/GlassProgressiveEnhancement.tsx",640,false,1,true
"GlassQuantumStates","components/advanced/GlassQuantumStates.tsx",958,false,4,false
"GlassReactions","components/advanced/GlassReactions.tsx",556,false,11,false
"GlassSelfHealingSystem","components/advanced/GlassSelfHealingSystem.tsx",1172,false,1,true
"GlassSpatialAudio","components/advanced/GlassSpatialAudio.tsx",869,false,2,false
"GlassTrophyCase","components/advanced/GlassTrophyCase.tsx",845,false,4,false
"GlassWebGLShader","components/advanced/GlassWebGLShader.tsx",471,false,2,false
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx",775,false,21,true
"LiquidGlassGPU","components/advanced/LiquidGlassGPU.tsx",696,false,2,false
"AIGlassThemeProvider","components/ai/AIGlassThemeProvider.tsx",517,false,1,true
"GlassDeepDreamGlass","components/ai/GlassDeepDreamGlass.tsx",810,false,3,false
"GlassGANGenerator","components/ai/GlassGANGenerator.tsx",843,false,3,false
"GlassGenerativeArt","components/ai/GlassGenerativeArt.tsx",672,false,3,false
"GlassIntelligentFormBuilder","components/ai/GlassIntelligentFormBuilder.tsx",798,false,2,false
"GlassLiveFilter","components/ai/GlassLiveFilter.tsx",977,false,3,false
"GlassMusicVisualizer","components/ai/GlassMusicVisualizer.tsx",801,false,5,false
"GlassStyleTransfer","components/ai/GlassStyleTransfer.tsx",578,false,2,false
"ProductionAIIntegration","components/ai/ProductionAIIntegration.tsx",386,false,1,false
"AIDemo","components/ai/examples/AIDemo.tsx",466,false,2,false
"AdvancedAnimations","components/animations/AdvancedAnimations.tsx",153,false,1,true
"GlassMotionController","components/animations/GlassMotionController.tsx",698,true,2,false
"GlassTransitions","components/animations/GlassTransitions.tsx",619,false,16,false
"OrganicAnimationEngine","components/animations/OrganicAnimationEngine.tsx",628,false,13,false
"ARGlassEffects","components/ar/ARGlassEffects.tsx",980,false,2,false
"GlassAuroraDisplay","components/atmospheric/GlassAuroraDisplay.tsx",690,false,6,false
"GlassBiomeSimulator","components/atmospheric/GlassBiomeSimulator.tsx",1013,false,8,false
"GlassNebulaClouds","components/atmospheric/GlassNebulaClouds.tsx",783,false,6,false
"GlassWeatherGlass","components/atmospheric/GlassWeatherGlass.tsx",746,false,7,false
"AtmosphericBackground","components/backgrounds/AtmosphericBackground.tsx",283,false,6,true
"GlassDynamicAtmosphere","components/backgrounds/GlassDynamicAtmosphere.tsx",581,false,3,false
"ParticleBackground","components/backgrounds/ParticleBackground.tsx",362,false,4,true
"EnhancedGlassButton","components/button/EnhancedGlassButton.tsx",537,false,2,false
"GlassButton","components/button/GlassButton.tsx",1181,true,2,false
"GlassFab","components/button/GlassFab.tsx",649,true,2,false
"GlassMagneticButton","components/button/GlassMagneticButton.tsx",258,false,2,false
"GlassCalendar","components/calendar/GlassCalendar.tsx",581,true,3,false
"GlassCard","components/card/GlassCard.tsx",518,true,2,false
"div","components/card/div.tsx",78,false,1,false
"glass-card-link","components/card/glass-card-link.tsx",38,false,2,false
"index","components/card/index.ts",32,false,0,true
"patterns","components/card/patterns.tsx",449,false,2,false
"GlassAreaChart","components/charts/GlassAreaChart.tsx",596,true,3,false
"GlassBarChart","components/charts/GlassBarChart.tsx",615,true,2,false
"GlassChart","components/charts/GlassChart.tsx",1440,true,8,false
"GlassDataChart","components/charts/GlassDataChart.tsx",1515,true,18,false
"GlassLineChart","components/charts/GlassLineChart.tsx",535,true,3,false
"GlassPieChart","components/charts/GlassPieChart.tsx",412,true,5,false
"ModularGlassDataChart","components/charts/ModularGlassDataChart.tsx",1199,false,7,false
"AtmosphericEffects","components/charts/components/AtmosphericEffects.tsx",162,false,4,false
"ChartAxis","components/charts/components/ChartAxis.tsx",141,false,6,false
"ChartContainer","components/charts/components/ChartContainer.tsx",59,false,4,false
"ChartFilters","components/charts/components/ChartFilters.tsx",112,false,0,true
"ChartGrid","components/charts/components/ChartGrid.tsx",140,false,1,true
"ChartLegend","components/charts/components/ChartLegend.tsx",86,false,5,false
"ChartRenderer","components/charts/components/ChartRenderer.tsx",224,false,7,false
"ChartTooltip","components/charts/components/ChartTooltip.tsx",79,false,8,false
"KpiChart","components/charts/components/KpiChart.tsx",74,false,4,false
"usePhysicsAnimation","components/charts/hooks/usePhysicsAnimation.ts",333,false,1,true
"useQualityTier","components/charts/hooks/useQualityTier.ts",309,false,1,true
"GalileoElementInteractionPlugin","components/charts/plugins/GalileoElementInteractionPlugin.ts",322,false,4,true
"ChartContainerStyles","components/charts/styles/ChartContainerStyles.ts",183,false,27,false
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts",300,false,25,true
"TooltipStyles","components/charts/styles/TooltipStyles.ts",372,false,28,false
"ChartAnimationUtils","components/charts/utils/ChartAnimationUtils.ts",456,false,1,true
"ChartDataUtils","components/charts/utils/ChartDataUtils.ts",478,false,0,true
"GlassTypingIndicator","components/chat/GlassTypingIndicator.tsx",257,false,2,false
"GlassCanvas","components/cms/GlassCanvas.tsx",524,false,3,false
"GlassComponentPalette","components/cms/GlassComponentPalette.tsx",262,false,3,false
"GlassDragDropProvider","components/cms/GlassDragDropProvider.tsx",732,false,3,false
"GlassPageBuilder","components/cms/GlassPageBuilder.tsx",377,false,3,false
"GlassPageStructure","components/cms/GlassPageStructure.tsx",434,false,3,false
"GlassPropertyPanel","components/cms/GlassPropertyPanel.tsx",435,false,3,false
"CollaborativeGlassWorkspace","components/collaboration/CollaborativeGlassWorkspace.tsx",913,false,6,false
"GlassCollaborationDashboard","components/collaboration/GlassCollaborationDashboard.tsx",409,false,3,false
"GlassCollaborationProvider","components/collaboration/GlassCollaborationProvider.tsx",466,false,5,false
"GlassCollaborativeComments","components/collaboration/GlassCollaborativeComments.tsx",494,false,9,false
"GlassCollaborativeCursor","components/collaboration/GlassCollaborativeCursor.tsx",86,false,3,false
"CompactCookieNotice","components/cookie-consent/CompactCookieNotice.tsx",284,true,5,false
"CookieConsent","components/cookie-consent/CookieConsent.tsx",311,true,3,false
"GlobalCookieConsent","components/cookie-consent/GlobalCookieConsent.tsx",571,true,7,false
"GlassActivityFeed","components/dashboard/GlassActivityFeed.tsx",600,true,3,false
"GlassChartWidget","components/dashboard/GlassChartWidget.tsx",469,true,2,false
"GlassKPICard","components/dashboard/GlassKPICard.tsx",409,true,3,false
"GlassMetricCard","components/dashboard/GlassMetricCard.tsx",430,true,3,false
"GlassStatCard","components/dashboard/GlassStatCard.tsx",457,true,3,false
"GlassAccordion","components/data-display/GlassAccordion.tsx",461,true,2,false
"GlassAnimatedNumber","components/data-display/GlassAnimatedNumber.tsx",336,true,3,false
"GlassAvatar","components/data-display/GlassAvatar.tsx",300,true,2,false
"GlassBadge","components/data-display/GlassBadge.tsx",424,true,2,false
"GlassBadgeLine","components/data-display/GlassBadgeLine.tsx",55,true,1,false
"GlassChip","components/data-display/GlassChip.tsx",435,false,2,false
"GlassDataGrid","components/data-display/GlassDataGrid.tsx",331,true,12,true
"GlassDataGridPro","components/data-display/GlassDataGridPro.tsx",21,true,0,true
"GlassDataTable","components/data-display/GlassDataTable.tsx",900,true,2,false
"GlassDiffViewer","components/data-display/GlassDiffViewer.tsx",37,true,1,false
"GlassDivider","components/data-display/GlassDivider.tsx",368,false,2,false
"GlassGanttChart","components/data-display/GlassGanttChart.tsx",725,false,3,false
"GlassHeatmap","components/data-display/GlassHeatmap.tsx",594,true,5,false
"GlassJSONViewer","components/data-display/GlassJSONViewer.tsx",21,true,0,true
"GlassKanbanBoard","components/data-display/GlassKanbanBoard.tsx",578,false,3,false
"GlassLoadingSkeleton","components/data-display/GlassLoadingSkeleton.tsx",322,true,6,false
"GlassMetricChip","components/data-display/GlassMetricChip.tsx",30,true,1,false
"GlassMetricsGrid","components/data-display/GlassMetricsGrid.tsx",639,false,2,false
"GlassNotificationCenter","components/data-display/GlassNotificationCenter.tsx",409,true,3,false
"GlassProgress","components/data-display/GlassProgress.tsx",613,true,2,false
"GlassSchemaViewer","components/data-display/GlassSchemaViewer.tsx",15,true,0,true
"GlassSkeleton","components/data-display/GlassSkeleton.tsx",333,true,3,false
"GlassSkeletonLoader","components/data-display/GlassSkeletonLoader.tsx",261,true,3,false
"GlassSparkline","components/data-display/GlassSparkline.tsx",31,true,0,true
"GlassStatusDot","components/data-display/GlassStatusDot.tsx",19,true,1,false
"GlassTimeline","components/data-display/GlassTimeline.tsx",357,true,2,false
"GlassToast","components/data-display/GlassToast.tsx",436,true,2,false
"GlassTreeView","components/data-display/GlassTreeView.tsx",542,false,2,false
"GlassVirtualTable","components/data-display/GlassVirtualTable.tsx",18,true,0,true
"Typography","components/data-display/Typography.tsx",44,false,0,true
"EnhancementShowcase","components/demo/EnhancementShowcase.tsx",617,false,2,false
"GlassEcommerceProvider","components/ecommerce/GlassEcommerceProvider.tsx",867,false,2,false
"GlassProductRecommendations","components/ecommerce/GlassProductRecommendations.tsx",593,false,3,false
"GlassSmartShoppingCart","components/ecommerce/GlassSmartShoppingCart.tsx",585,false,3,false
"GlassRichTextEditor","components/editor/GlassRichTextEditor.tsx",337,false,2,false
"AuroraPro","components/effects/AuroraPro.tsx",672,false,6,false
"Glass3DEngine","components/effects/Glass3DEngine.tsx",536,false,4,false
"GlassMorphingEngine","components/effects/GlassMorphingEngine.tsx",600,false,2,false
"GlassPhysicsEngine","components/effects/GlassPhysicsEngine.tsx",469,false,3,false
"GlassShatterEffects","components/effects/GlassShatterEffects.tsx",585,false,3,false
"SeasonalParticles","components/effects/SeasonalParticles.tsx",535,false,6,false
"GlassMoodRing","components/experiential/GlassMoodRing.tsx",430,false,12,false
"GlassToast","components/feedback/GlassToast.tsx",242,true,3,false
"HoudiniGlassCard","components/houdini/HoudiniGlassCard.tsx",429,false,2,false
"HoudiniGlassProvider","components/houdini/HoudiniGlassProvider.tsx",553,false,9,false
"ClearIcon","components/icons/ClearIcon.tsx",36,false,0,true
"GlassImageProcessingProvider","components/image/GlassImageProcessingProvider.tsx",977,false,1,true
"GlassIntelligentImageUploader","components/image/GlassIntelligentImageUploader.tsx",697,false,1,true
"ImageList","components/image-list/ImageList.tsx",243,true,2,true
"ImageListItem","components/image-list/ImageListItem.tsx",310,true,3,true
"ImageListItemBar","components/image-list/ImageListItemBar.tsx",170,true,1,true
"Glass360Viewer","components/immersive/Glass360Viewer.tsx",734,false,5,false
"GlassARPreview","components/immersive/GlassARPreview.tsx",720,false,8,false
"GlassFluidSimulation","components/immersive/GlassFluidSimulation.tsx",708,false,4,false
"GlassHologram","components/immersive/GlassHologram.tsx",722,false,3,false
"GlassParticleField","components/immersive/GlassParticleField.tsx",627,false,7,false
"GlassVortexPortal","components/immersive/GlassVortexPortal.tsx",746,false,7,false
"GlassCheckbox","components/input/GlassCheckbox.tsx",335,true,2,false
"GlassCheckboxGroup","components/input/GlassCheckboxGroup.tsx",562,false,2,false
"GlassColorPicker","components/input/GlassColorPicker.tsx",636,true,3,false
"GlassDatePicker","components/input/GlassDatePicker.tsx",566,true,2,false
"GlassDateRangePicker","components/input/GlassDateRangePicker.tsx",533,true,3,false
"GlassFileUpload","components/input/GlassFileUpload.tsx",422,true,3,false
"GlassFormStepper","components/input/GlassFormStepper.tsx",445,true,3,false
"GlassFormTable","components/input/GlassFormTable.tsx",50,true,2,false
"GlassInput","components/input/GlassInput.tsx",484,true,2,false
"GlassLabel","components/input/GlassLabel.tsx",121,true,2,false
"GlassMultiSelect","components/input/GlassMultiSelect.tsx",604,true,26,false
"GlassMultiStepForm","components/input/GlassMultiStepForm.tsx",587,true,3,false
"GlassRadioGroup","components/input/GlassRadioGroup.tsx",585,true,2,false
"GlassSelect","components/input/GlassSelect.tsx",604,true,2,false
"GlassSlider","components/input/GlassSlider.tsx",566,true,2,false
"GlassStep","components/input/GlassStep.tsx",130,true,2,false
"GlassStepIcon","components/input/GlassStepIcon.tsx",89,true,2,true
"GlassStepLabel","components/input/GlassStepLabel.tsx",80,true,2,false
"GlassStepper","components/input/GlassStepper.tsx",514,true,2,false
"GlassSwitch","components/input/GlassSwitch.tsx",338,true,2,false
"GlassTextarea","components/input/GlassTextarea.tsx",266,true,2,false
"GlassToggle","components/input/GlassToggle.tsx",419,true,3,false
"GlassTransferList","components/input/GlassTransferList.tsx",395,false,2,false
"GlassTreeSelect","components/input/GlassTreeSelect.tsx",399,false,3,false
"GlassWizard","components/input/GlassWizard.tsx",553,true,3,false
"ContextAwareGlass","components/interactive/ContextAwareGlass.tsx",677,false,4,true
"CursorGlow","components/interactive/CursorGlow.tsx",125,false,3,false
"GlassA11yAuditor","components/interactive/GlassA11yAuditor.tsx",563,true,3,true
"GlassAdvancedSearch","components/interactive/GlassAdvancedSearch.tsx",679,true,2,false
"GlassAvatarGroup","components/interactive/GlassAvatarGroup.tsx",96,true,1,false
"GlassCardLink","components/interactive/GlassCardLink.tsx",215,true,2,false
"GlassCarousel","components/interactive/GlassCarousel.tsx",864,true,3,false
"GlassChat","components/interactive/GlassChat.tsx",1026,true,3,false
"GlassChatInput","components/interactive/GlassChatInput.tsx",595,true,3,false
"GlassCoachmarks","components/interactive/GlassCoachmarks.tsx",33,true,2,false
"GlassCodeEditor","components/interactive/GlassCodeEditor.tsx",420,true,3,false
"GlassColorSchemeGenerator","components/interactive/GlassColorSchemeGenerator.tsx",396,true,3,false
"GlassColorWheel","components/interactive/GlassColorWheel.tsx",573,false,3,false
"GlassCommand","components/interactive/GlassCommand.tsx",453,true,3,false
"GlassCommandPalette","components/interactive/GlassCommandPalette.tsx",600,true,3,false
"GlassCommentThread","components/interactive/GlassCommentThread.tsx",56,true,2,false
"GlassComponentPlayground","components/interactive/GlassComponentPlayground.tsx",432,true,3,false
"GlassDraggable","components/interactive/GlassDraggable.tsx",527,true,3,false
"GlassDrawingCanvas","components/interactive/GlassDrawingCanvas.tsx",538,false,5,false
"GlassFacetSearch","components/interactive/GlassFacetSearch.tsx",552,true,3,false
"GlassFileTree","components/interactive/GlassFileTree.tsx",551,true,3,false
"GlassFileUpload","components/interactive/GlassFileUpload.tsx",611,true,2,false
"GlassFilterPanel","components/interactive/GlassFilterPanel.tsx",458,true,3,false
"GlassFocusRing","components/interactive/GlassFocusRing.tsx",96,true,1,true
"GlassFormBuilder","components/interactive/GlassFormBuilder.tsx",598,true,2,false
"GlassGallery","components/interactive/GlassGallery.tsx",579,true,3,false
"GlassGestureZone","components/interactive/GlassGestureZone.tsx",772,false,3,false
"GlassGradientPicker","components/interactive/GlassGradientPicker.tsx",450,true,21,false
"GlassImageViewer","components/interactive/GlassImageViewer.tsx",604,true,3,false
"GlassInfiniteScroll","components/interactive/GlassInfiniteScroll.tsx",278,true,3,false
"GlassInlineEdit","components/interactive/GlassInlineEdit.tsx",47,true,2,false
"GlassKanban","components/interactive/GlassKanban.tsx",585,true,3,false
"GlassKeyValueEditor","components/interactive/GlassKeyValueEditor.tsx",39,true,2,false
"GlassLazyImage","components/interactive/GlassLazyImage.tsx",445,true,3,false
"GlassMentionList","components/interactive/GlassMentionList.tsx",29,true,2,false
"GlassMessageList","components/interactive/GlassMessageList.tsx",412,true,3,false
"GlassMindMap","components/interactive/GlassMindMap.tsx",540,true,2,false
"GlassPatternBuilder","components/interactive/GlassPatternBuilder.tsx",855,false,6,false
"GlassPresets","components/interactive/GlassPresets.tsx",348,false,0,true
"GlassQueryBuilder","components/interactive/GlassQueryBuilder.tsx",105,true,2,false
"GlassReactionBar","components/interactive/GlassReactionBar.tsx",27,true,2,false
"GlassSearchInterface","components/interactive/GlassSearchInterface.tsx",589,true,3,false
"GlassSignaturePad","components/interactive/GlassSignaturePad.tsx",442,false,3,false
"GlassSpotlight","components/interactive/GlassSpotlight.tsx",35,true,3,false
"GlassStepper","components/interactive/GlassStepper.tsx",46,true,3,false
"GlassTagInput","components/interactive/GlassTagInput.tsx",65,true,2,false
"GlassThemeDemo","components/interactive/GlassThemeDemo.tsx",563,true,3,false
"GlassThemeSwitcher","components/interactive/GlassThemeSwitcher.tsx",355,true,3,false
"GlassUserPresence","components/interactive/GlassUserPresence.tsx",600,true,3,false
"GlassVideoPlayer","components/interactive/GlassVideoPlayer.tsx",564,true,3,false
"GlassVirtualList","components/interactive/GlassVirtualList.tsx",367,true,1,false
"GlassVoiceInput","components/interactive/GlassVoiceInput.tsx",789,false,6,false
"GlassWhiteboard","components/interactive/GlassWhiteboard.tsx",647,true,4,false
"PageTransitionDemo","components/interactive/PageTransitionDemo.tsx",60,false,7,false
"ThemedGlassComponents","components/interactive/ThemedGlassComponents.tsx",140,false,1,true
"Box","components/layout/Box.tsx",62,false,1,true
"GlassAppShell","components/layout/GlassAppShell.tsx",559,true,2,false
"GlassBox","components/layout/GlassBox.tsx",410,false,2,false
"GlassContainer","components/layout/GlassContainer.tsx",641,true,3,false
"GlassFlex","components/layout/GlassFlex.tsx",374,true,2,false
"GlassGrid","components/layout/GlassGrid.tsx",431,true,2,false
"GlassMasonry","components/layout/GlassMasonry.tsx",94,true,2,false
"GlassScrollArea","components/layout/GlassScrollArea.tsx",520,true,2,false
"GlassSeparator","components/layout/GlassSeparator.tsx",204,true,2,false
"GlassSplitPane","components/layout/GlassSplitPane.tsx",195,true,2,false
"GlassStack","components/layout/GlassStack.tsx",310,true,2,false
"HStack","components/layout/HStack.tsx",67,false,0,true
"OptimizedGlassContainer","components/layout/OptimizedGlassContainer.tsx",264,true,2,false
"VStack","components/layout/VStack.tsx",67,false,0,true
"GlassFractalLayout","components/layouts/GlassFractalLayout.tsx",399,false,1,true
"GlassGoldenRatioGrid","components/layouts/GlassGoldenRatioGrid.tsx",441,false,3,true
"GlassIslandLayout","components/layouts/GlassIslandLayout.tsx",679,false,7,false
"GlassMasonryGrid","components/layouts/GlassMasonryGrid.tsx",610,false,3,false
"GlassOrbitalMenu","components/layouts/GlassOrbitalMenu.tsx",345,false,1,true
"GlassTessellation","components/layouts/GlassTessellation.tsx",485,false,1,true
"GlassAdvancedAudioPlayer","components/media/GlassAdvancedAudioPlayer.tsx",770,false,3,false
"GlassAdvancedVideoPlayer","components/media/GlassAdvancedVideoPlayer.tsx",725,false,3,false
"GlassMediaProvider","components/media/GlassMediaProvider.tsx",607,false,2,false
"GlassActionSheet","components/mobile/GlassActionSheet.tsx",292,false,2,false
"GlassPullToRefresh","components/mobile/GlassPullToRefresh.tsx",302,false,2,false
"TouchGlassOptimization","components/mobile/TouchGlassOptimization.tsx",506,false,3,false
"GlassBottomSheet","components/modal/GlassBottomSheet.tsx",158,true,2,false
"GlassDialog","components/modal/GlassDialog.tsx",858,true,3,false
"GlassDrawer","components/modal/GlassDrawer.tsx",1013,true,3,false
"GlassHoverCard","components/modal/GlassHoverCard.tsx",441,true,2,false
"GlassModal","components/modal/GlassModal.tsx",904,true,3,false
"GlassPopover","components/modal/GlassPopover.tsx",606,true,3,false
"GlassTooltip","components/modal/GlassTooltip.tsx",289,true,2,false
"EnhancedGlassTabs","components/navigation/EnhancedGlassTabs.tsx",483,false,7,true
"GlassBottomNav","components/navigation/GlassBottomNav.tsx",246,true,2,false
"GlassBreadcrumb","components/navigation/GlassBreadcrumb.tsx",322,true,2,false
"GlassCommandBar","components/navigation/GlassCommandBar.tsx",90,true,2,false
"GlassContextMenu","components/navigation/GlassContextMenu.tsx",393,true,3,false
"GlassDropdownMenu","components/navigation/GlassDropdownMenu.tsx",481,true,3,false
"GlassHeader","components/navigation/GlassHeader.tsx",1273,true,8,false
"GlassMenubar","components/navigation/GlassMenubar.tsx",593,true,3,false
"GlassMobileNav","components/navigation/GlassMobileNav.tsx",364,true,2,false
"GlassNavigation","components/navigation/GlassNavigation.tsx",587,false,2,false
"GlassNavigationMenu","components/navigation/GlassNavigationMenu.tsx",559,true,2,false
"GlassPagination","components/navigation/GlassPagination.tsx",508,true,2,false
"GlassResponsiveNav","components/navigation/GlassResponsiveNav.tsx",210,true,2,false
"GlassSegmentedControl","components/navigation/GlassSegmentedControl.tsx",89,true,2,false
"GlassSidebar","components/navigation/GlassSidebar.tsx",680,true,7,false
"GlassTabBar","components/navigation/GlassTabBar.tsx",1026,true,3,false
"GlassTabs","components/navigation/GlassTabs.tsx",482,true,2,false
"GlassToolbar","components/navigation/GlassToolbar.tsx",62,true,2,false
"HeaderUserMenu","components/navigation/HeaderUserMenu.tsx",168,false,4,false
"ScrollButtons","components/navigation/components/ScrollButtons.tsx",62,false,1,false
"TabItem","components/navigation/components/TabItem.tsx",65,false,3,false
"styled","components/navigation/styled.ts",81,false,12,false
"tabUtils","components/navigation/utils/tabUtils.ts",66,false,0,true
"GlassCoherenceIndicator","components/quantum/GlassCoherenceIndicator.tsx",445,false,11,false
"GlassProbabilityCloud","components/quantum/GlassProbabilityCloud.tsx",532,false,4,false
"GlassQuantumField","components/quantum/GlassQuantumField.tsx",834,false,5,false
"GlassQuantumTunnel","components/quantum/GlassQuantumTunnel.tsx",569,false,10,false
"GlassSuperpositionalMenu","components/quantum/GlassSuperpositionalMenu.tsx",537,false,3,false
"GlassWaveFunction","components/quantum/GlassWaveFunction.tsx",501,false,6,false
"GlassRating","components/rating/GlassRating.tsx",319,false,2,false
"GlassIntelligentSearch","components/search/GlassIntelligentSearch.tsx",773,false,2,false
"GlassSpotlightSearch","components/search/GlassSpotlightSearch.tsx",378,false,2,false
"GlassCollaborativeCursor","components/social/GlassCollaborativeCursor.tsx",406,false,4,false
"GlassPresenceIndicator","components/social/GlassPresenceIndicator.tsx",364,false,3,false
"GlassReactionBubbles","components/social/GlassReactionBubbles.tsx",436,false,3,false
"GlassSharedWhiteboard","components/social/GlassSharedWhiteboard.tsx",593,false,3,false
"GlassSocialFeed","components/social/GlassSocialFeed.tsx",516,false,7,false
"GlassVoiceWaveform","components/social/GlassVoiceWaveform.tsx",526,false,3,false
"SpatialComputingEngine","components/spatial/SpatialComputingEngine.tsx",607,false,3,false
"SpeedDial","components/speed-dial/SpeedDial.tsx",470,true,22,true
"SpeedDialAction","components/speed-dial/SpeedDialAction.tsx",391,false,4,true
"SpeedDialIcon","components/speed-dial/SpeedDialIcon.tsx",131,false,1,true
"GlassConnectionStatus","components/status/GlassConnectionStatus.tsx",287,false,2,false
"DimensionalGlass","components/surfaces/DimensionalGlass.tsx",210,false,3,false
"FrostedGlass","components/surfaces/FrostedGlass.tsx",255,false,9,true
"GlassDepthLayer","components/surfaces/GlassDepthLayer.tsx",271,false,10,false
"HeatGlass","components/surfaces/HeatGlass.tsx",199,false,3,false
"PageGlassContainer","components/surfaces/PageGlassContainer.tsx",164,false,2,false
"WidgetGlass","components/surfaces/WidgetGlass.tsx",219,false,3,false
"GlassDashboard","components/templates/dashboard/GlassDashboard.tsx",441,true,2,false
"ChartWidget","components/templates/dashboard/widgets/ChartWidget.tsx",440,false,6,false
"MetricWidget","components/templates/dashboard/widgets/MetricWidget.tsx",359,false,2,false
"TableWidget","components/templates/dashboard/widgets/TableWidget.tsx",420,false,2,false
"GlassDetailView","components/templates/detail/GlassDetailView.tsx",494,true,2,false
"FormValidationUtils","components/templates/forms/FormValidationUtils.ts",368,false,1,true
"GlassFormTemplate","components/templates/forms/GlassFormTemplate.tsx",434,true,3,false
"GlassFormWizardSteps","components/templates/forms/GlassFormWizardSteps.tsx",314,true,3,false
"GlassWizardTemplate","components/templates/forms/GlassWizardTemplate.tsx",454,true,3,false
"GlassDataTable","components/templates/interactive/GlassDataTable.tsx",268,true,3,false
"GlassListView","components/templates/list/GlassListView.tsx",615,true,2,false
"ToggleButton","components/toggle-button/ToggleButton.tsx",458,true,2,false
"ToggleButtonGroup","components/toggle-button/ToggleButtonGroup.tsx",179,true,1,false
"TreeItem","components/tree-view/TreeItem.tsx",415,true,7,true
"TreeView","components/tree-view/TreeView.tsx",230,true,7,true
"FocusIndicator","components/visual-feedback/FocusIndicator.tsx",200,false,2,false
"RippleButton","components/visual-feedback/RippleButton.tsx",255,false,3,false
"StateIndicator","components/visual-feedback/StateIndicator.tsx",177,false,8,true
"VisualFeedback","components/visual-feedback/VisualFeedback.tsx",265,false,1,true
"GlassAdvancedDataViz","components/visualization/GlassAdvancedDataViz.tsx",738,false,3,false
"VoiceGlassControl","components/voice/VoiceGlassControl.tsx",772,false,2,false
"GlassChartsDemo","components/website-components/GlassChartsDemo.tsx",98,false,9,false
"GlassPrismComparison","components/website-components/GlassPrismComparison.tsx",446,true,8,false
"GlassWipeSlider","components/website-components/GlassWipeSlider.tsx",1006,true,7,false
"GlassWipeSliderExamples","components/website-components/GlassWipeSliderExamples.tsx",470,false,1,true
"MotionAwareGlass","components/website-components/MotionAwareGlass.tsx",229,true,4,false